block trial startTime trialName trialType stopTime L_targetTime R_targetTime Choice L_press R_press L2_press R2_press L_RT R_RT L2_RT R2_RT
3 148 617.0 Stop-right 4 550 800 800 1 1 0 0 0 919.1 nan nan nan
3 149 620.1 Stop-all 2 550 800 800 1 0 0 0 0 nan nan nan nan
3 150 623.3 Go 1 0 800 800 1 1 1 0 0 786.0 786.0 nan nan
3 151 626.5 Stop-left 3 585 800 800 1 0 1 0 0 nan 840.1 nan nan
3 152 629.8 Stop-left 3 620 800 800 2 0 0 1 1 nan nan 790.8 790.8
3 153 633.1 Stop-left 3 585 800 800 2 0 0 0 1 nan nan nan 848.0
3 154 636.3 Stop-right 4 585 800 800 2 0 0 1 1 nan nan 787.1 787.1
3 155 639.6 Go 1 0 800 800 2 0 0 1 1 nan nan 836.2 820.4
3 156 643.0 Go 1 0 800 800 2 0 0 1 1 nan nan 822.1 806.1
3 157 646.4 Go 1 0 800 800 2 0 0 1 1 nan nan 809.0 809.0
3 158 649.9 Go 1 0 800 800 1 1 1 0 0 797.8 782.1 nan nan
3 159 653.2 Go 1 0 800 800 2 0 0 1 1 nan nan 809.9 809.9
3 160 656.6 Go 1 0 800 800 1 1 1 0 0 805.9 805.9 nan nan
3 161 660.0 Stop-right 4 550 800 800 1 1 0 0 0 828.0 nan nan nan
3 162 663.1 Go 1 0 800 800 2 0 0 1 1 nan nan 774.9 791.1
3 163 666.3 Go 1 0 800 800 1 1 1 0 0 789.4 789.4 nan nan
3 164 669.7 Stop-all 2 585 800 800 2 0 0 0 0 nan nan nan nan
3 165 672.9 Go 1 0 800 800 2 0 0 1 1 nan nan 791.2 791.2
3 166 676.2 Stop-all 2 620 800 800 2 0 0 1 1 nan nan 794.9 794.9
3 167 679.7 Go 1 0 800 800 1 1 1 0 0 762.5 762.5 nan nan
3 168 682.9 Go 1 0 800 800 2 0 0 1 1 nan nan 797.1 797.1
3 169 686.3 Go 1 0 800 800 1 1 1 0 0 789.0 789.0 nan nan
3 170 689.4 Go 1 0 800 800 1 1 1 0 0 806.4 806.4 nan nan
3 171 692.6 Go 1 0 800 800 1 1 1 0 0 798.3 814.4 nan nan
3 172 695.9 Go 1 0 800 800 2 0 0 1 1 nan nan 801.0 801.0
3 173 699.4 Go 1 0 800 800 2 0 0 1 1 nan nan 786.4 818.2
3 174 702.5 Go 1 0 800 800 1 1 1 0 0 796.1 796.1 nan nan
3 175 705.9 Stop-right 4 585 800 800 2 0 0 1 1 nan nan 767.0 767.0
3 176 709.3 Go 1 0 800 800 1 1 1 0 0 807.0 807.0 nan nan
3 177 712.6 Go 1 0 800 800 1 1 1 0 0 778.1 778.1 nan nan
3 178 715.9 Stop-all 2 585 800 800 2 0 0 0 0 nan nan nan nan
3 179 719.1 Go 1 0 800 800 1 1 1 0 0 789.9 805.7 nan nan
3 180 722.2 Go 1 0 800 800 1 1 1 0 0 810.1 810.1 nan nan
4 181 726.2 Go 1 0 800 800 2 0 0 1 1 nan nan 828.5 828.5
4 182 729.7 Go 1 0 800 800 1 1 1 0 0 780.1 780.1 nan nan
4 183 733.0 Go 1 0 800 800 1 1 1 0 0 781.6 781.6 nan nan
4 184 736.3 Go 1 0 800 800 2 0 0 1 1 nan nan 822.2 822.2
4 185 739.3 Go 1 0 800 800 2 0 0 1 1 nan nan 835.0 835.0
4 186 742.6 Go 1 0 800 800 1 1 1 0 0 792.3 792.3 nan nan
4 187 745.8 Go 1 0 800 800 2 0 0 1 1 nan nan 802.3 802.3
4 188 749.1 Go 1 0 800 800 2 0 0 1 1 nan nan 772.8 789.0
4 189 752.2 Stop-left 3 620 800 800 2 0 0 1 1 nan nan 795.5 795.5
4 190 755.4 Stop-right 4 550 800 800 2 0 0 1 0 nan nan 915.7 nan
4 191 758.5 Stop-all 2 620 800 800 2 0 0 1 1 nan nan 799.5 847.4
4 192 761.6 Stop-left 3 585 800 800 2 0 0 0 1 nan nan nan 916.2
4 193 764.9 Go 1 0 800 800 1 1 1 0 0 813.7 813.7 nan nan
4 194 768.2 Go 1 0 800 800 1 1 1 0 0 810.2 810.2 nan nan
4 195 771.4 Stop-right 4 585 800 800 1 1 0 0 0 820.5 nan nan nan
4 196 774.5 Stop-all 2 585 800 800 1 0 0 0 0 nan nan nan nan
4 197 777.8 Stop-right 4 620 800 800 2 0 0 1 1 nan nan 837.7 837.7
4 198 781.0 Go 1 0 800 800 2 0 0 1 1 nan nan 836.7 836.7
4 199 784.1 Stop-left 3 620 800 800 1 1 1 0 0 837.6 821.8 nan nan
4 200 787.2 Go 1 0 800 800 2 0 0 1 1 nan nan 832.4 832.4
4 201 790.5 Go 1 0 800 800 2 0 0 1 1 nan nan 778.4 794.3
4 202 793.6 Go 1 0 800 800 1 1 1 0 0 791.2 791.2 nan nan
4 203 796.7 Go 1 0 800 800 1 1 1 0 0 798.0 798.0 nan nan
4 204 800.2 Go 1 0 800 800 2 0 0 1 1 nan nan 814.9 814.9
4 205 803.3 Stop-right 4 585 800 800 1 1 1 0 0 828.4 828.4 nan nan
4 206 806.5 Stop-all 2 620 800 800 1 0 0 0 0 nan nan nan nan
4 207 809.9 Go 1 0 800 800 2 0 0 1 1 nan nan 810.5 810.5
4 208 813.2 Go 1 0 800 800 2 0 0 1 1 nan nan 810.1 841.7
4 209 816.6 Stop-all 2 655 800 800 1 1 1 0 0 768.3 768.3 nan nan
4 210 819.7 Go 1 0 800 800 2 0 0 1 1 nan nan 806.8 806.8
4 211 822.7 Go 1 0 800 800 1 1 1 0 0 794.8 810.6 nan nan
4 212 825.9 Go 1 0 800 800 1 1 1 0 0 836.2 836.2 nan nan
